list,item,breakLoc,plurality,grammaticality,cond,wavname,question,answerCorrect,answerIncorrect
list1,001T,e,p,g,crit_e_p,001_e_p_spl.wav,,,
list2,001T,e,s,u,crit_e_s,001_e_s_spl.wav,,,
list3,001T,l,p,g,crit_l_p,001_l_p_spl.wav,,,
list4,001T,l,s,u,crit_l_s,001_l_s_spl.wav,,,
list5,001T,n,p,g,crit_n_p,001_n_p_spl.wav,,,
list6,001T,n,s,u,crit_n_s,001_n_s_spl.wav,,,
list2,002T,e,p,g,crit_e_p,002_e_p_spl.wav,,,
list3,002T,e,s,u,crit_e_s,002_e_s_spl.wav,,,
list4,002T,l,p,g,crit_l_p,002_l_p_spl.wav,,,
list5,002T,l,s,u,crit_l_s,002_l_s_spl.wav,,,
list6,002T,n,p,g,crit_n_p,002_n_p_spl.wav,,,
list1,002T,n,s,u,crit_n_s,002_n_s_spl.wav,,,
list3,003T,e,p,g,crit_e_p,003_e_p_spl.wav,,,
list4,003T,e,s,u,crit_e_s,003_e_s_spl.wav,,,
list5,003T,l,p,g,crit_l_p,003_l_p_spl.wav,,,
list6,003T,l,s,u,crit_l_s,003_l_s_spl.wav,,,
list1,003T,n,p,g,crit_n_p,003_n_p_spl.wav,,,
list2,003T,n,s,u,crit_n_s,003_n_s_spl.wav,,,
list4,004T,e,p,g,crit_e_p,004_e_p_spl.wav,,,
list5,004T,e,s,u,crit_e_s,004_e_s_spl.wav,,,
list6,004T,l,p,g,crit_l_p,004_l_p_spl.wav,,,
list1,004T,l,s,u,crit_l_s,004_l_s_spl.wav,,,
list2,004T,n,p,g,crit_n_p,004_n_p_spl.wav,,,
list3,004T,n,s,u,crit_n_s,004_n_s_spl.wav,,,
list5,005T,e,p,g,crit_e_p,005_e_p_spl.wav,What were the police officer like?,shady,upstanding
list6,005T,e,s,u,crit_e_s,005_e_s_spl.wav,What were the police officer like?,shady,upstanding
list1,005T,l,p,g,crit_l_p,005_l_p_spl.wav,What were the police officer like?,shady,upstanding
list2,005T,l,s,u,crit_l_s,005_l_s_spl.wav,What were the police officer like?,shady,upstanding
list3,005T,n,p,g,crit_n_p,005_n_p_spl.wav,What were the police officer like?,shady,upstanding
list4,005T,n,s,u,crit_n_s,005_n_s_spl.wav,What were the police officer like?,shady,upstanding
list6,006T,e,p,g,crit_e_p,006_e_p_spl.wav,Who is the offer for?,buyer,seller
list1,006T,e,s,u,crit_e_s,006_e_s_spl.wav,Who is the offer for?,buyer,seller
list2,006T,l,p,g,crit_l_p,006_l_p_spl.wav,Who is the offer for?,buyer,seller
list3,006T,l,s,u,crit_l_s,006_l_s_spl.wav,Who is the offer for?,buyer,seller
list4,006T,n,p,g,crit_n_p,006_n_p_spl.wav,Who is the offer for?,buyer,seller
list5,006T,n,s,u,crit_n_s,006_n_s_spl.wav,Who is the offer for?,buyer,seller
list1,007T,e,p,g,crit_e_p,007_e_p_spl.wav,,,
list2,007T,e,s,u,crit_e_s,007_e_s_spl.wav,,,
list3,007T,l,p,g,crit_l_p,007_l_p_spl.wav,,,
list4,007T,l,s,u,crit_l_s,007_l_s_spl.wav,,,
list5,007T,n,p,g,crit_n_p,007_n_p_spl.wav,,,
list6,007T,n,s,u,crit_n_s,007_n_s_spl.wav,,,
list2,008T,e,p,g,crit_e_p,008_e_p_spl.wav,When was the painting done?,before quarter,after quarter
list3,008T,e,s,u,crit_e_s,008_e_s_spl.wav,When was the painting done?,before quarter,after quarter
list4,008T,l,p,g,crit_l_p,008_l_p_spl.wav,When was the painting done?,before quarter,after quarter
list5,008T,l,s,u,crit_l_s,008_l_s_spl.wav,When was the painting done?,before quarter,after quarter
list6,008T,n,p,g,crit_n_p,008_n_p_spl.wav,When was the painting done?,before quarter,after quarter
list1,008T,n,s,u,crit_n_s,008_n_s_spl.wav,When was the painting done?,before quarter,after quarter
list3,009T,e,p,g,crit_e_p,009_e_p_spl.wav,Who forgot?,king and queen,prince and princess
list4,009T,e,s,u,crit_e_s,009_e_s_spl.wav,Who forgot?,king and queen,prince and princess
list5,009T,l,p,g,crit_l_p,009_l_p_spl.wav,Who forgot?,king and queen,prince and princess
list6,009T,l,s,u,crit_l_s,009_l_s_spl.wav,Who forgot?,king and queen,prince and princess
list1,009T,n,p,g,crit_n_p,009_n_p_spl.wav,Who forgot?,king and queen,prince and princess
list2,009T,n,s,u,crit_n_s,009_n_s_spl.wav,Who forgot?,king and queen,prince and princess
list4,010T,e,p,g,crit_e_p,010_e_p_spl.wav,,,
list5,010T,e,s,u,crit_e_s,010_e_s_spl.wav,,,
list6,010T,l,p,g,crit_l_p,010_l_p_spl.wav,,,
list1,010T,l,s,u,crit_l_s,010_l_s_spl.wav,,,
list2,010T,n,p,g,crit_n_p,010_n_p_spl.wav,,,
list3,010T,n,s,u,crit_n_s,010_n_s_spl.wav,,,
list5,011T,e,p,g,crit_e_p,011_e_p_spl.wav,,,
list6,011T,e,s,u,crit_e_s,011_e_s_spl.wav,,,
list1,011T,l,p,g,crit_l_p,011_l_p_spl.wav,,,
list2,011T,l,s,u,crit_l_s,011_l_s_spl.wav,,,
list3,011T,n,p,g,crit_n_p,011_n_p_spl.wav,,,
list4,011T,n,s,u,crit_n_s,011_n_s_spl.wav,,,
list6,012T,e,p,g,crit_e_p,012_e_p_spl.wav,What is the entrance to?,storage room,break room
list1,012T,e,s,u,crit_e_s,012_e_s_spl.wav,What is the entrance to?,storage room,break room
list2,012T,l,p,g,crit_l_p,012_l_p_spl.wav,What is the entrance to?,storage room,break room
list3,012T,l,s,u,crit_l_s,012_l_s_spl.wav,What is the entrance to?,storage room,break room
list4,012T,n,p,g,crit_n_p,012_n_p_spl.wav,What is the entrance to?,storage room,break room
list5,012T,n,s,u,crit_n_s,012_n_s_spl.wav,What is the entrance to?,storage room,break room
list1,013T,e,p,g,crit_e_p,013_e_p_spl.wav,,,
list2,013T,e,s,u,crit_e_s,013_e_s_spl.wav,,,
list3,013T,l,p,g,crit_l_p,013_l_p_spl.wav,,,
list4,013T,l,s,u,crit_l_s,013_l_s_spl.wav,,,
list5,013T,n,p,g,crit_n_p,013_n_p_spl.wav,,,
list6,013T,n,s,u,crit_n_s,013_n_s_spl.wav,,,
list2,014T,e,p,g,crit_e_p,014_e_p_spl.wav,Who is the owner?,boss,CEO
list3,014T,e,s,u,crit_e_s,014_e_s_spl.wav,Who is the owner?,boss,CEO
list4,014T,l,p,g,crit_l_p,014_l_p_spl.wav,Who is the owner?,boss,CEO
list5,014T,l,s,u,crit_l_s,014_l_s_spl.wav,Who is the owner?,boss,CEO
list6,014T,n,p,g,crit_n_p,014_n_p_spl.wav,Who is the owner?,boss,CEO
list1,014T,n,s,u,crit_n_s,014_n_s_spl.wav,Who is the owner?,boss,CEO
list3,015T,e,p,g,crit_e_p,015_e_p_spl.wav,,,
list4,015T,e,s,u,crit_e_s,015_e_s_spl.wav,,,
list5,015T,l,p,g,crit_l_p,015_l_p_spl.wav,,,
list6,015T,l,s,u,crit_l_s,015_l_s_spl.wav,,,
list1,015T,n,p,g,crit_n_p,015_n_p_spl.wav,,,
list2,015T,n,s,u,crit_n_s,015_n_s_spl.wav,,,
